 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 17, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Methane (gas)

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.8175E-04 g/cm3 = 7.1648E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    080.00    025.13   
      C      6    020.00    074.87   
 ====================================
 Bragg Correction = 0.48%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  55.00 keV   1.548E+00  3.472E-03    1.25 mm    91.93 um   120.42 um  
  60.00 keV   1.554E+00  3.233E-03    1.33 mm    93.68 um   123.20 um  
  65.00 keV   1.553E+00  3.028E-03    1.41 mm    95.36 um   125.86 um  
  70.00 keV   1.549E+00  2.848E-03    1.50 mm    96.99 um   128.41 um  
  80.00 keV   1.528E+00  2.551E-03    1.67 mm   101.53 um   133.32 um  
  90.00 keV   1.497E+00  2.313E-03    1.84 mm   105.94 um   138.05 um  
 100.00 keV   1.460E+00  2.119E-03    2.01 mm   110.29 um   142.67 um  
 110.00 keV   1.418E+00  1.956E-03    2.20 mm   114.65 um   147.25 um  
 120.00 keV   1.376E+00  1.819E-03    2.38 mm   119.04 um   151.84 um  
 130.00 keV   1.332E+00  1.700E-03    2.57 mm   123.51 um   156.47 um  
 140.00 keV   1.290E+00  1.597E-03    2.77 mm   128.06 um   161.16 um  
 150.00 keV   1.249E+00  1.507E-03    2.98 mm   132.72 um   165.94 um  
 160.00 keV   1.209E+00  1.427E-03    3.19 mm   137.49 um   170.83 um  
 170.00 keV   1.171E+00  1.355E-03    3.41 mm   142.38 um   175.83 um  
 180.00 keV   1.135E+00  1.291E-03    3.64 mm   147.39 um   180.97 um  
 200.00 keV   1.068E+00  1.180E-03    4.11 mm   164.74 um   191.66 um  
 225.00 keV   9.943E-01  1.067E-03    4.75 mm   190.94 um   205.89 um  
 250.00 keV   9.304E-01  9.753E-04    5.42 mm   217.14 um   221.14 um  
 275.00 keV   8.747E-01  8.987E-04    6.15 mm   243.54 um   237.44 um  
 300.00 keV   8.260E-01  8.339E-04    6.92 mm   270.25 um   254.81 um  
 325.00 keV   7.830E-01  7.783E-04    7.73 mm   297.33 um   273.25 um  
 350.00 keV   7.448E-01  7.301E-04    8.59 mm   324.79 um   292.75 um  
 375.00 keV   7.107E-01  6.878E-04    9.48 mm   352.66 um   313.30 um  
 400.00 keV   6.801E-01  6.505E-04   10.42 mm   380.93 um   334.87 um  
 450.00 keV   6.272E-01  5.873E-04   12.42 mm   482.00 um   381.01 um  
